SensorSweep starting
STA;SR109;SD17;IR109;ID19;SA0;SB59;END;
STA;SR129;SD15;IR129;ID92;SA17;SB0;END;
STA;SR149;SD5;IR149;ID143;SA15;SB6;END;
STA;SR169;SD22;IR169;ID419;SA0;SB0;END;
STA;SR171;SD15;IR171;ID275;SA0;SB0;END;
STA;SR151;SD17;IR151;ID123;SA7;SB31;END;
STA;SR131;SD15;IR131;ID92;SA6;SB0;END;
STA;SR111;SD5;IR111;ID19;SA13;SB6;END;
STA;SR91;SD10;IR91;ID20;SA10;SB0;END;
STA;SR71;SD5;IR71;ID28;SA16;SB2;END;
STA;SR51;SD20;IR51;ID43;SA0;SB37;END;
STA;SR31;SD5;IR31;ID24;SA0;SB0;END;
STA;SR11;SD129;IR11;ID146;SA9;SB0;END;
STA;SR10;SD124;IR10;ID142;SA0;SB0;END;
STA;SR30;SD27;IR30;ID25;SA8;SB0;END;
STA;SR50;SD12;IR50;ID42;SA8;SB4;END;
STA;SR70;SD2;IR70;ID35;SA0;SB52;END;
STA;SR90;SD17;IR90;ID21;SA3;SB25;END;
STA;SR110;SD5;IR110;ID20;SA9;SB38;END;
STA;SR130;SD20;IR130;ID94;SA2;SB0;END;
STA;SR150;SD20;IR150;ID133;SA0;SB0;END;
STA;SR170;SD15;IR170;ID306;SA11;SB0;END;
STA;SR150;SD10;IR150;ID198;SA6;SB0;END;
STA;SR130;SD17;IR130;ID92;SA3;SB20;END;
STA;SR110;SD15;IR110;ID20;SA0;SB21;END;
STA;SR90;SD17;IR90;ID21;SA13;SB2;END;
STA;SR70;SD22;IR70;ID52;SA17;SB6;END;
STA;SR50;SD30;IR50;ID41;SA18;SB0;END;
STA;SR30;SD93;IR30;ID26;SA0;SB16;END;
STA;SR11;SD129;IR11;ID153;SA12;SB3;END;
STA;SR31;SD132;IR31;ID25;SA0;SB0;END;
STA;SR51;SD20;IR51;ID41;SA2;SB0;END;
STA;SR71;SD17;IR71;ID34;SA14;SB17;END;
STA;SR91;SD17;IR91;ID21;SA11;SB2;END;
STA;SR111;SD15;IR111;ID20;SA7;SB0;END;
STA;SR131;SD0;IR131;ID86;SA3;SB20;END;
STA;SR151;SD17;IR151;ID146;SA44;SB48;END;
STA;SR169;SD15;IR169;ID478;SA0;SB0;END;
STA;SR149;SD17;IR149;ID166;SA13;SB0;END;
STA;SR129;SD20;IR129;ID90;SA0;SB7;END;
STA;SR109;SD17;IR109;ID20;SA2;SB0;END;
STA;SR89;SD20;IR89;ID22;SA0;SB0;END;
STA;SR69;SD22;IR69;ID66;SA0;SB37;END;
STA;SR49;SD20;IR49;ID38;SA0;SB0;END;
STA;SR29;SD129;IR29;ID26;SA7;SB1;END;
STA;SR12;SD129;IR12;ID139;SA0;SB23;END;
STA;SR32;SD17;IR32;ID25;SA26;SB11;END;
STA;SR52;SD20;IR52;ID38;SA15;SB0;END;
STA;SR72;SD20;IR72;ID70;SA0;SB27;END;
STA;SR92;SD78;IR92;ID95;SA15;SB41;END;
STA;SR112;SD414;IR112;ID87;SA0;SB0;END;
STA;SR132;SD548;IR132;ID100;SA6;SB31;END;
STA;SR152;SD22;IR152;ID173;SA0;SB28;END;
STA;SR168;SD33;IR168;ID419;SA0;SB0;END;
STA;SR148;SD30;IR148;ID111;SA9;SB30;END;
STA;SR128;SD508;IR128;ID107;SA5;SB1;END;
STA;SR108;SD25;IR108;ID18;SA0;SB0;END;
STA;SR88;SD33;IR88;ID97;SA0;SB12;END;
STA;SR68;SD35;IR68;ID61;SA22;SB17;END;
STA;SR48;SD20;IR48;ID34;SA5;SB8;END;
STA;SR28;SD104;IR28;ID26;SA0;SB0;END;
STA;SR13;SD121;IR13;ID135;SA8;SB8;END;
STA;SR33;SD132;IR33;ID24;SA5;SB11;END;
STA;SR53;SD27;IR53;ID40;SA2;SB0;END;
STA;SR73;SD38;IR73;ID80;SA8;SB0;END;
STA;SR93;SD66;IR93;ID96;SA0;SB0;END;
STA;SR113;SD86;IR113;ID71;SA0;SB3;END;
STA;SR133;SD495;IR133;ID100;SA0;SB2;END;
STA;SR153;SD33;IR153;ID139;SA0;SB0;END;
STA;SR167;SD439;IR167;ID218;SA12;SB1;END;
STA;SR147;SD33;IR147;ID131;SA4;SB0;END;
STA;SR127;SD541;IR127;ID96;SA4;SB0;END;
STA;SR107;SD66;IR107;ID90;SA7;SB4;END;
STA;SR87;SD66;IR87;ID85;SA6;SB6;END;
STA;SR67;SD35;IR67;ID60;SA2;SB4;END;
STA;SR47;SD30;IR47;ID34;SA0;SB9;END;
STA;SR27;SD154;IR27;ID27;SA1;SB1;END;
STA;SR14;SD124;IR14;ID111;SA10;SB0;END;
STA;SR34;SD86;IR34;ID23;SA2;SB1;END;
STA;SR54;SD17;IR54;ID40;SA8;SB5;END;
STA;SR74;SD48;IR74;ID89;SA0;SB0;END;
STA;SR94;SD66;IR94;ID92;SA9;SB5;END;
STA;SR114;SD88;IR114;ID87;SA0;SB0;END;
STA;SR134;SD508;IR134;ID115;SA6;SB0;END;
STA;SR154;SD12;IR154;ID143;SA3;SB0;END;
STA;SR166;SD439;IR166;ID233;SA0;SB0;END;
STA;SR146;SD33;IR146;ID146;SA4;SB2;END;
STA;SR126;SD289;IR126;ID94;SA6;SB14;END;
STA;SR106;SD66;IR106;ID80;SA0;SB3;END;
STA;SR86;SD73;IR86;ID79;SA10;SB2;END;
STA;SR66;SD30;IR66;ID57;SA0;SB5;END;
STA;SR46;SD25;IR46;ID30;SA8;SB0;END;
STA;SR26;SD134;IR26;ID28;SA0;SB2;END;
STA;SR15;SD129;IR15;ID146;SA0;SB2;END;
STA;SR35;SD121;IR35;ID22;SA7;SB1;END;
STA;SR55;SD48;IR55;ID43;SA3;SB0;END;
STA;SR75;SD38;IR75;ID102;SA9;SB11;END;
STA;SR95;SD66;IR95;ID96;SA0;SB0;END;
STA;SR115;SD86;IR115;ID90;SA0;SB0;END;
STA;SR135;SD505;IR135;ID159;SA5;SB0;END;
STA;SR155;SD30;IR155;ID169;SA0;SB7;END;
STA;SR165;SD218;IR165;ID204;SA7;SB3;END;
STA;SR145;SD38;IR145;ID143;SA1;SB1;END;
STA;SR125;SD510;IR125;ID97;SA0;SB0;END;
STA;SR105;SD467;IR105;ID80;SA0;SB2;END;
STA;SR85;SD73;IR85;ID76;SA2;SB0;END;
STA;SR65;SD38;IR65;ID58;SA0;SB5;END;
STA;SR45;SD38;IR45;ID25;SA4;SB0;END;
STA;SR25;SD129;IR25;ID30;SA0;SB0;END;
STA;SR16;SD129;IR16;ID153;SA5;SB0;END;
STA;SR36;SD33;IR36;ID23;SA14;SB1;END;
STA;SR56;SD22;IR56;ID43;SA9;SB4;END;
STA;SR76;SD35;IR76;ID115;SA19;SB2;END;
STA;SR96;SD71;IR96;ID92;SA0;SB0;END;
STA;SR116;SD86;IR116;ID57;SA0;SB0;END;
STA;SR136;SD38;IR136;ID140;SA25;SB1;END;
STA;SR156;SD35;IR156;ID190;SA0;SB0;END;
STA;SR164;SD439;IR164;ID221;SA1;SB0;END;
STA;SR144;SD35;IR144;ID166;SA6;SB3;END;
STA;SR124;SD116;IR124;ID100;SA0;SB0;END;
STA;SR104;SD104;IR104;ID73;SA20;SB0;END;
STA;SR84;SD76;IR84;ID78;SA0;SB0;END;
STA;SR64;SD35;IR64;ID57;SA0;SB0;END;
STA;SR44;SD35;IR44;ID21;SA3;SB2;END;
STA;SR24;SD127;IR24;ID32;SA3;SB4;END;
STA;SR17;SD129;IR17;ID166;SA6;SB0;END;
STA;SR37;SD30;IR37;ID22;SA19;SB3;END;
STA;SR57;SD27;IR57;ID45;SA0;SB0;END;
STA;SR77;SD38;IR77;ID103;SA9;SB0;END;
STA;SR97;SD66;IR97;ID96;SA0;SB0;END;
STA;SR117;SD393;IR117;ID63;SA8;SB3;END;
STA;SR137;SD38;IR137;ID135;SA11;SB0;END;
STA;SR157;SD33;IR157;ID193;SA0;SB0;END;
STA;SR163;SD33;IR163;ID173;SA6;SB7;END;
STA;SR143;SD30;IR143;ID180;SA0;SB0;END;
STA;SR123;SD137;IR123;ID97;SA5;SB3;END;
STA;SR103;SD68;IR103;ID87;SA7;SB3;END;
STA;SR83;SD71;IR83;ID83;SA0;SB1;END;
STA;SR63;SD35;IR63;ID56;SA9;SB2;END;
STA;SR43;SD35;IR43;ID21;SA21;SB4;END;
STA;SR23;SD68;IR23;ID32;SA4;SB2;END;
STA;SR18;SD132;IR18;ID80;SA5;SB2;END;
STA;SR38;SD27;IR38;ID22;SA8;SB0;END;
STA;SR58;SD33;IR58;ID47;SA4;SB1;END;
STA;SR78;SD40;IR78;ID96;SA2;SB0;END;
STA;SR98;SD66;IR98;ID102;SA7;SB1;END;
STA;SR118;SD83;IR118;ID88;SA0;SB0;END;
STA;SR138;SD40;IR138;ID140;SA0;SB0;END;
STA;SR158;SD30;IR158;ID254;SA0;SB4;END;
STA;SR162;SD441;IR162;ID299;SA4;SB0;END;
STA;SR142;SD30;IR142;ID159;SA15;SB7;END;
STA;SR122;SD119;IR122;ID90;SA6;SB4;END;
STA;SR102;SD68;IR102;ID81;SA4;SB11;END;
STA;SR82;SD60;IR82;ID81;SA0;SB3;END;
STA;SR62;SD38;IR62;ID53;SA10;SB4;END;
STA;SR42;SD35;IR42;ID21;SA0;SB8;END;
STA;SR22;SD27;IR22;ID35;SA0;SB0;END;
STA;SR19;SD129;IR19;ID59;SA6;SB1;END;
STA;SR39;SD22;IR39;ID22;SA7;SB10;END;
STA;SR59;SD20;IR59;ID46;SA8;SB1;END;
STA;SR79;SD68;IR79;ID111;SA3;SB1;END;
STA;SR99;SD71;IR99;ID107;SA0;SB0;END;
STA;SR119;SD467;IR119;ID2903;SA3;SB3;END;
STA;SR139;SD38;IR139;ID146;SA0;SB0;END;
